order,file_path,thumbnail,capture_uuid,page_uri,book_uri,source_rotated,width,height,source_x,source_y,source_w,source_h
2081,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2082/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2082/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2081,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2081,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3672,4550,0,0,3672,4550
2082,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2083/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2083/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2082,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2082,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3515,4556,0,0,3515,4556
2083,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2084/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2084/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2083,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2083,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3672,4547,0,0,3672,4547
2084,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2085/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2085/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2084,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2084,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3672,4551,0,0,3672,4551
2085,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2086/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2086/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2085,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2085,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3672,4547,0,0,3672,4547
2086,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2087/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2087/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2086,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2086,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3672,4551,0,0,3672,4551
2087,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2088/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2088/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2087,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2087,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3656,4544,0,0,3656,4544
2088,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2089/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2089/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2088,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2088,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3656,4547,0,0,3656,4547
2089,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2090/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2090/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2089,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2089,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3656,4544,0,0,3656,4544
2090,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2091/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2091/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2090,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2090,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3510,4544,0,0,3510,4544
2091,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2092/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2092/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2091,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2091,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3672,4543,0,0,3672,4543
2092,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2093/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2093/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2092,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2092,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3672,4549,0,0,3672,4549
2093,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2094/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2094/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2093,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2093,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3656,4545,0,0,3656,4545
